,q_date,q_year,prop_year,state,entity,utility,county_1,poi_name,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn
10076,8/7/2006,2006.0,2010.0,MN,MISO,Northern States Power (Xcel Energy),lincoln,Yankee 34.5kV Substation,0,0,0,1,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10078,10/12/2022,2022.0,2025.0,MS,MISO,"Entergy Mississippi, LLC",yazoo,Picken - Midway SS (CE) 115 kV,0,0,0,1,0,0,0,0,0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10079,6/20/2016,2016.0,2021.0,MI,MISO,"Michigan Electric Transmission Company, LLC",muskegon,BC Cobb - Four Mile 138kV Line,0,0,0,1,0,0,0,0,0,147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10081,11/14/2016,2016.0,2018.0,MN,MISO,Northern States Power (Xcel Energy),renville,Unknown,0,0,0,1,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10082,10/31/2022,2022.0,2025.0,IL,MISO,Ameren Illinois,st. clair,Prairie State Plant Switchyard 345 kV,0,0,0,1,0,0,0,0,0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10083,10/12/2022,2022.0,2025.0,MS,MISO,"Entergy Mississippi, LLC",hinds,CLINTON INDUSTRIAL 230kV Substation,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10084,10/6/2022,2022.0,2026.0,AR,MISO,"Entergy Arkansas, LLC",lee,AECC  Aubrey to Brinkley East 230 kV,0,0,0,1,0,0,0,0,0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10085,9/22/2022,2022.0,2025.0,AR,MISO,"Entergy Arkansas, LLC",crittenden,Gilmore to Wilson 161kV,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10086,11/1/2022,2022.0,2026.0,IL,MISO,Ameren Transmission Company of Illinois,peoria,Fargo to Sandburg 345kV,0,0,0,1,0,0,0,0,0,252.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10087,4/30/2007,2007.0,2007.0,IL,MISO,Ameren Illinois,jasper,AEG Newton Plant 345kV,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10090,5/27/2008,2008.0,2011.0,WI,MISO,American Transmission Co. LLC,columbia,Friesland Substation 138kV bus,0,0,0,1,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10091,4/29/2019,2019.0,2022.0,IA,MISO,ITC Midwest,fayette,ITC 161kV Windsor - Hazleton 161kV Line,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10092,5/18/2009,2009.0,2008.0,ND,MISO,Great River Energy,nelson,GRE Ramsey - Prairie 230 kV,0,0,0,1,0,0,0,0,0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10093,10/17/2022,2022.0,2025.0,IL,MISO,Ameren Illinois,jasper,4EFFINGHM N - 4NEWTON 138kV,0,0,0,1,0,0,0,0,0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10094,10/20/2022,2022.0,2026.0,AR,MISO,"Entergy Arkansas, LLC",hot spring,H.S. EHV 500 kV Substation,0,0,0,1,0,0,0,0,0,400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10095,9/19/2022,2022.0,2027.0,MN,MISO,Great River Energy,wadena,Wing River-Riverton 230kV,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10097,11/14/2014,2014.0,2015.0,IA,MISO,ITC Midwest,fayette,Hazelton to Windsor 161 kV line,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10099,3/12/2018,2018.0,2021.0,IA,MISO,MidAmerican Energy Company,plymouth,J506 Substation on Raun - Highland 345 kV Line,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10100,10/7/2022,2022.0,2027.0,AR,MISO,"Entergy Arkansas, LLC",lee,AECC AUBREY to BRINKLEY EAST 230kV,0,0,0,1,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10101,7/11/2016,2016.0,2019.0,AR,MISO,Entergy,crittenden,Unknown,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10102,7/11/2016,2016.0,2019.0,MS,MISO,Entergy,sunflower,Unknown,0,0,0,1,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10103,5/6/2016,2016.0,2019.0,LA,MISO,Entergy,calcasieu parish,Unknown,0,0,0,1,0,0,0,0,0,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10105,3/12/2018,2018.0,2023.0,MO,MISO,Ameren Transmission Company of Illinois,knox,Zachary - Maywood 345 kV Line Tap,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10106,3/12/2018,2018.0,2021.0,WI,MISO,American Transmission Co. LLC,marathon,Gardner Park - J821 POI - Stone Lake 345 kV Line Tap,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10107,3/12/2018,2018.0,2021.0,IL,MISO,Ameren Illinois,washington,Prest 138kV Switching Station,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10109,9/27/2022,2022.0,2027.0,IA,MISO,Midamerican Energy Company,pottawattamie,Pony Creek-Rolling Hills Wind 345kV,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10111,4/29/2019,2019.0,2021.0,AR,MISO,"Entergy Arkansas, LLC",monroe,Clarendon - Brinkley East 115kV Line,0,0,0,1,0,0,0,0,0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10112,4/29/2019,2019.0,2022.0,WI,MISO,American Transmission Co. LLC,rock,Sunrise 138 kV Substation,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10114,10/5/2009,2009.0,2012.0,MI,MISO,ITC Transmission,huron,Harbor Beach - Wyatt 120 kV,0,0,0,1,0,0,0,0,0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10115,4/29/2019,2019.0,2022.0,IN,MISO,"Southern Indiana Gas & Electric Company d/b/a Vectren Energy Delivery of Indiana, Inc.",vanderburgh,Angel Mound 138kV Substation,0,0,0,1,0,0,0,0,0,50.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10116,6/25/2020,2020.0,2023.0,MI,MISO,Consumers Energy Company,st. joseph,Simpson 138kV,0,0,0,1,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10117,4/29/2019,2019.0,2022.0,IL,MISO,Ameren Illinois,saline,Muddy - Norris City 138kV Line,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10118,10/7/2022,2022.0,2026.0,IL,MISO,Ameren Illinois,randolph,Baldwin-Rush Island 345kV,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10119,6/12/2008,2008.0,2011.0,MN,MISO,ITC Midwest,cottonwood,ITC Midwest Mountain Lake 69 kV Substation,0,0,0,1,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10120,9/13/2022,2022.0,2026.0,IA,MISO,MidAmerican Energy Company,woodbury,Salix,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10121,10/24/2022,2022.0,2027.0,IL,MISO,Ameren Illinois,st. clair,Fayetteville 138kV (endpoint A) to South Belleville 138kV (endpoint B),0,0,0,1,0,0,0,0,0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10122,7/9/2020,2020.0,2023.0,MN,MISO,ITC Midwest,rock,Magnolia 161 kV,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10123,1/11/2016,2016.0,2018.0,LA,MISO,Entergy,morehouse parish,Galion 115kV Substation,0,0,0,1,0,0,0,0,0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10125,4/29/2019,2019.0,2022.0,IN,MISO,"Southern Indiana Gas & Electric Company d/b/a Vectren Energy Delivery of Indiana, Inc.",posey,Point 69kV Substation,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10127,11/18/2022,2022.0,2027.0,AR,MISO,"Entergy Arkansas, LLC",ouachita,El Dorado EHV - McNeil EHV 500kV,0,0,0,1,0,0,0,0,0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10128,4/10/2008,2008.0,2012.0,IN,MISO,Duke Energy Corporation,clinton,Cayuga - New London 230 kV,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10129,11/3/2022,2022.0,2026.0,IL,MISO,Ameren Illinois,iroquois,Watseka 138 kV,0,0,0,1,0,0,0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10131,6/16/2017,2017.0,2022.0,MN,MISO,Great River Energy,sherburne,Cable - Cable Tap 69kV Substation,0,0,0,1,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10133,3/18/2005,2005.0,2006.0,MN,MISO,"Minnesota Power (Allete, Inc.)",st. louis,"MP's #34 (115kV) line, approx 2-4 miles NW of Project Site",0,0,0,1,0,0,0,0,0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10134,7/31/2020,2020.0,2023.0,IL,MISO,Ameren Illinois,shelby,Pana - Route 51 138kV,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10135,5/9/2016,2016.0,2020.0,MO,MISO,Ameren Transmission Company of Illinois,adair,Zachary to Ottumwa 345kV tap,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10136,11/17/2005,2005.0,2011.0,WI,MISO,American Transmission Co. LLC,kewaunee,Unknown,0,0,0,1,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10137,12/21/2022,2022.0,2024.0,IL,MISO,Ameren Illinois,shelby,4PANA-4SHELBYVL 138kV,0,0,0,1,0,0,0,0,0,205.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10138,5/5/2009,2009.0,2010.0,IA,MISO,MidAmerican Energy Company,clay,Sheldon (Obrien county sub) 345 kV,0,0,0,1,0,0,0,0,0,149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10140,10/27/2022,2022.0,2023.0,MO,MISO,Ameren Illinois,audrain,Ameren Centralia 69 kV Substation,0,0,0,1,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10141,9/26/2022,2022.0,2026.0,IL,MISO,Midamerican Energy Company,whiteside,Cordova 345kV Substation,0,0,0,1,0,0,0,0,0,380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10142,12/23/2002,2002.0,2005.0,MN,MISO,Northern States Power (Xcel Energy),lincoln,Unknown,0,0,0,1,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10143,10/6/2022,2022.0,2026.0,LA,MISO,CLECO Corporation,rapides,Hineston 230kV Substation,0,0,0,1,0,0,0,0,0,467.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10149,3/12/2018,2018.0,2021.0,IA,MISO,ITC Midwest,chickasaw,Hazleton - Mitchell county 345 kV line,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10150,5/9/2016,2016.0,2018.0,LA,MISO,Entergy,jefferson davis parish,Unknown,0,0,0,1,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10151,10/13/2022,2022.0,2025.0,LA,MISO,"Entergy Louisiana, LLC",ouachita,Rilla 230 kV Substation,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10153,3/12/2018,2018.0,2022.0,MS,MISO,"Entergy Mississippi, LLC",sunflower,Delta - Ruleville 115kV Line Tap,0,0,0,1,0,0,0,0,0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10154,12/1/2002,2002.0,2004.0,MN,MISO,Northern States Power (Xcel Energy),dakota,Unknown,0,0,0,1,0,0,0,0,0,670.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10155,6/9/2021,2021.0,2023.0,IL,MISO,Ameren Illinois,de witt,Clinton to Goose Creek-4545 345kV line,0,0,0,1,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10157,10/6/2022,2022.0,2026.0,IL,MISO,Ameren Illinois,clinton,South Centralia 138 kV,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10158,10/17/2022,2022.0,2025.0,IN,MISO,Indianapolis Power & Light Company,hamilton,Noblesville--Fall Creek 345kV,0,0,0,1,0,0,0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10159,4/26/2019,2019.0,2022.0,MI,MISO,ITC Transmission,washtenaw,Dorset 120 kV Substation,0,0,0,1,0,0,0,0,0,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10160,9/14/2022,2022.0,2026.0,TX,MISO,Ameren Transmission Company of Illinois,peoria,"New 345kV switchyard, looping in the Fargo-Sandburg 345kV",0,0,0,1,0,0,0,0,0,253.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10162,4/29/2019,2019.0,2021.0,MN,MISO,ITC Midwest,nobles,Brewster - Elk 161kV Line,0,0,0,1,0,0,0,0,0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10163,10/19/2022,2022.0,2026.0,MI,MISO,"Michigan Electric Transmission Company, LLC",midland,18GLENRJ-18BULLOCKW,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10164,9/10/2001,2001.0,2007.0,MN,MISO,ITC Midwest,murray,Unknown,0,0,0,1,0,0,0,0,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10165,10/7/2022,2022.0,2025.0,MI,MISO,"Michigan Electric Transmission Company, LLC",bay,Almeda Junction-Shale 138kV,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10166,3/12/2018,2018.0,2021.0,MN,MISO,ITC Midwest,nobles,Elk - Brewster 161 kV Line Tap,0,0,0,1,0,0,0,0,0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10167,10/5/2009,2009.0,2012.0,MN,MISO,Great River Energy,kandiyohi,Willmar - Kerkhoven 115 kV,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10168,4/29/2019,2019.0,2021.0,MI,MISO,"Michigan Electric Transmission Company, LLC",shiawassee,Cornell - Bell Road 138 kV Line,0,0,0,1,0,0,0,0,0,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10169,10/12/2022,2022.0,2026.0,MO,MISO,Ameren Missouri,warren,Warrenton 161kV Substation,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10170,6/28/2010,2010.0,2012.0,MN,MISO,Northern States Power (Xcel Energy),lyon,Xcel Milroy - Yellow Medicine 69kV,0,0,0,1,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10174,2/9/2009,2009.0,2009.0,MN,MISO,"Ewington Energy Systems, LLC",mower,East Austin Switching Station,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10175,12/30/2005,2005.0,2014.0,MN,MISO,Northern States Power (Xcel Energy),sibley,69 kV to Winthrop Sub,0,0,0,1,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10178,6/16/2017,2017.0,2021.0,LA,MISO,Entergy,tangipahoa parish,Amite 115 kV Substation,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10179,3/12/2018,2018.0,2022.0,MS,MISO,Cooperative Energy,jasper,Missionary 230kV Substation,0,0,0,1,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10180,9/13/2016,2016.0,2020.0,MN,MISO,Dairyland Power Cooperative,fillmore,Cherry Grove 69kV Substation,0,0,0,1,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10181,11/14/2007,2007.0,2010.0,MN,MISO,Great River Energy,mower,Pleasant Valley 345 kV Substation,0,0,0,1,0,0,0,0,0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10182,12/21/2020,2020.0,2023.0,LA,MISO,"Entergy Louisiana, LLC",washington,Barkers Corner - Bogalusa 230 kV Line,0,0,0,1,0,0,0,0,0,50.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10184,6/16/2017,2017.0,2019.0,AR,MISO,Entergy,carroll,Green Forest South - Harrison West 161kV,0,0,0,1,0,0,0,0,0,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10185,4/10/2008,2008.0,2010.0,IN,MISO,Duke Energy Corporation,clinton,Lafayette-New London 230 kV,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10187,3/12/2018,2018.0,2020.0,MN,MISO,Xcel Energy,cottonwood,Lakefield Generation SW 345kV Substation,0,0,0,1,0,0,0,0,0,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10188,3/12/2018,2018.0,2020.0,AR,MISO,"Entergy Arkansas, LLC",crittenden,Kuhn Rd. - Parkin 161 kV line tap,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10189,1/31/2001,2001.0,2003.0,IN,MISO,Duke Energy Corporation,putnam,Unknown,0,0,0,1,0,0,0,0,0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10190,2/11/2010,2010.0,2012.0,MO,MISO,MidAmerican Energy Company,atchison,MEC Cooper - Atchison 345 kV,0,0,0,1,0,0,0,0,0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10191,4/29/2019,2019.0,2020.0,IA,MISO,MidAmerican Energy Company,black hawk,Shawlis - Electric Farms 161kV Line,0,0,0,1,0,0,0,0,0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10192,5/24/2007,2007.0,2009.0,MN,MISO,Great River Energy,mower,161 kV GRE line in southwest 1/4 of section 26 Waltham Twp,0,0,0,1,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10193,7/10/2008,2008.0,2012.0,IN,MISO,Northern Indiana Public Service Company,porter,Schafer Gen  - Tower Rd 345kV,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10196,3/12/2018,2018.0,2021.0,TX,MISO,"Entergy Texas, Inc.",jefferson,Big Hill CO - Bayou Farms CO 138 kV Line Tap,0,0,0,1,0,0,0,0,0,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10198,11/3/2022,2022.0,2025.0,MO,MISO,Ameren Missouri,pemiscot,Dell to New Madrid 500kV line,0,0,0,1,0,0,0,0,0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10199,6/16/2017,2017.0,2019.0,MI,MISO,"Michigan Electric Transmission Company, LLC",calhoun,Verona - Foundry 138 kV Line Tap,0,0,0,1,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10201,3/14/2016,2016.0,2018.0,LA,MISO,Entergy,concordia parish,Unknown,0,0,0,1,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10202,6/16/2017,2017.0,2019.0,WI,MISO,American Transmission Co. LLC,walworth,Bluff Creek (Tap) to Sugar Creek 138 kV line tap,0,0,0,1,0,0,0,0,0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10203,2/17/2021,2021.0,2023.0,MI,MISO,ITC Transmission,muskegon,Du Pont to Cobb 138 KV (J1375 POI),0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10205,10/30/2012,2012.0,2013.0,MN,MISO,"Ewington Energy Systems, LLC",stearns,Melrose East 69kV Substation,0,0,0,1,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10206,4/29/2019,2019.0,2022.0,MN,MISO,Great River Energy,benton,Benton County 115kV Substation,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10210,3/12/2018,2018.0,2020.0,WI,MISO,American Transmission Co. LLC,kenosha,Arcadian - Zion 345kV Line Tap,0,0,0,1,0,0,0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
