,Unnamed: 0,q_date,q_year,prop_year,state,entity,utility,county_1,poi_name,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn,tokens,OID_,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,OBJECTID,Join_Count_12,TARGET_FID_12,Join_Count_12_13,TARGET_FID_12_13,F_id,name,operator,operator_wikidata,power,substation,type,ORIG_FID,Lat,Long,STATE_ABBR,STATE_NAME,POP_SQMI,COUNTYNAME,LEGAL_NAME,CLASSCODE,LEGAL_DESC,CLASSCODE_DESC,GEOID,votes_dem,votes_rep,votes_total,votes_per_sqkm,pct_dem_lead,solar_ann_ghi_rn,SymbolID,avg_wind_speed_meters_per_second,tokens
10,43,1/24/2011,2011.0,2012.0,MO,AEC,AEC,nodaway,Maryville 161kV Bus,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,maryville,7922,1,27312,1,27312,27312,0,27312,1,27312,way/492885964,Maryville Substation,Evergy,Q7987107,substation,distribution,multipolygon,27312,40.34593102,-94.84774204,MO,Missouri,88.3,nodaway,Nodaway County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.5459669,maryville
11,49,5/2/2016,2016.0,2018.0,MO,AEC,AEC,nodaway,Maryville Substation,0,0,0,0,0,0,0,1,0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,maryville,7922,1,27312,1,27312,27312,0,27312,1,27312,way/492885964,Maryville Substation,Evergy,Q7987107,substation,distribution,multipolygon,27312,40.34593102,-94.84774204,MO,Missouri,88.3,nodaway,Nodaway County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.5459669,maryville
12,55,2/23/2006,2006.0,2012.0,MO,AEC,AEC,atchison,Maryville 161 kV Bus,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,maryville,7922,1,27312,1,27312,27312,0,27312,1,27312,way/492885964,Maryville Substation,Evergy,Q7987107,substation,distribution,multipolygon,27312,40.34593102,-94.84774204,MO,Missouri,88.3,nodaway,Nodaway County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.5459669,maryville
13,57,12/6/2018,2018.0,2021.0,MO,AEC,AEC,new madrid,New Madrid to St Francis 345 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
14,60,4/17/2009,2009.0,2011.0,MO,AEC,AEC,nodaway,Maryville 161 kV Bus,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,maryville,7922,1,27312,1,27312,27312,0,27312,1,27312,way/492885964,Maryville Substation,Evergy,Q7987107,substation,distribution,multipolygon,27312,40.34593102,-94.84774204,MO,Missouri,88.3,nodaway,Nodaway County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.5459669,maryville
15,64,6/7/2007,2007.0,2011.0,MO,AEC,AEC,schuyler,New High Prairie Substation on Queen City to Lancaster 69 kV line.,0,0,0,0,0,0,0,1,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
16,67,11/19/2018,2018.0,2021.0,MO,AEC,AEC,new madrid,New Madrid to St Francis 345 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
17,69,6/17/2009,2009.0,2010.0,MO,AEC,AEC,clinton,Osborn 161 kV Bus,0,0,0,0,0,0,0,1,0,201.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,osborn,41524,1,45252,1,45252,45252,0,45252,1,45252,way/1059086544,Osborn Wind Energy,Corn Belt Power Coop,Q7987107,substation,generation,multipolygon,45252,39.84243688,-94.49140058,MO,Missouri,88.3,dekalb,DeKalb County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.8585696,osborn
18,71,3/20/2015,2015.0,2016.0,MO,AEC,AEC,dekalb,Osborn 161 kV bus,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,osborn,41524,1,45252,1,45252,45252,0,45252,1,45252,way/1059086544,Osborn Wind Energy,Corn Belt Power Coop,Q7987107,substation,generation,multipolygon,45252,39.84243688,-94.49140058,MO,Missouri,88.3,dekalb,DeKalb County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.8585696,osborn
19,73,10/25/2019,2019.0,2023.0,MO,AEC,AEC,clifton hill,Thomas Hill 161 kV,0,0,0,0,0,0,0,1,0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,thomas,15955,1,1850,1,1850,1850,0,1850,1,1850,way/60692452,Thomas Hill 345kV Substation,Ameren,Q462984,substation,transmission,multipolygon,1850,39.54481689,-92.64092857,MO,Missouri,88.3,randolph,Randolph County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.5844104,thomas
