,q_year,prop_year,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn,Lat,Long,POP_SQMI,votes_dem,votes_rep,votes_total,votes_per_sqkm,pct_dem_lead,solar_ann_ghi_rn,avg_wind_speed_meters_per_second,q_date_unix,util_aec,util_aep,util_ameren illinois,util_ameren missouri,util_ameren transmission company of illinois,util_american transmission co. llc,util_aps,util_atsi,util_avista,util_bge,util_bhct,util_big rivers electric corporation,util_cedar falls utilities,util_clpt,util_comed,util_commonwealth edison company,util_consumers energy company,util_cooperative energy,util_dairyland power cooperative,util_dayton,util_dcrt,util_deok,util_dl,util_dominion,util_dominion sc,util_dominionsc,util_dpl,util_duke,util_duke energy,util_duke energy corporation,"util_duke energy indiana, llc",util_duke_fl,util_east texas electric cooperative,util_entergy,"util_entergy arkansas, llc","util_entergy louisiana, llc","util_entergy mississippi, llc","util_entergy texas, inc.","util_ewington energy systems, llc",util_firstenergy solutions corp.,util_glw,util_great river energy,util_gridunity,util_gtc,util_hoosier energy rec inc,"util_hoosier energy rec, inc.",util_indianapolis power & light company,util_itc midwest,util_itc transmission,util_itci,util_jcpl,util_madison gas and electric company,util_me,"util_michigan electric transmission company, llc",util_michigan public power agency,util_midamerican energy company,util_minnesota power,"util_minnesota power (allete, inc.)",util_missouri river energy services (mres),util_montana-dakota utilities co.,util_montana-dakota utilities company,util_northern indiana public service company,util_northern states power (xcel energy),util_northwestern,util_nve,util_otter tail power company,util_ovec,util_pacificorp,util_peco,util_penelec,util_pepco,util_pgae,util_pge,util_ppl,"util_prairie power, inc.",util_pse,util_pseg,util_reco,util_rochester public utilities,util_sce,util_sdge,util_smeco,util_smmpa,util_soco,util_south mississippi electric power association,util_southern illinois power cooperative,"util_southern indiana gas & electric company d/b/a vectren energy delivery of indiana, inc.",util_southern minnesota municipal power agency,util_srp,util_srp-anpp,util_srp-pv-pc,util_tsgt,util_ugi,util_unknown,util_upper peninsula power company,util_vea,util_wabash valley power,util_wisconsin electric power company,util_wisconsin public service corporation,"util_wolverine power supply cooperative, inc.",util_xcel energy
2604,2005.0,2010.0,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40.93432442,-90.39859032,227.4,331.0,175.0,521.0,21.9,29.9,4.0,3.8026924,1131685200.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2605,2009.0,2011.0,0,0,0,1,0,0,0,0,0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,42.29402651,-88.96929019,227.4,3226.0,2999.0,6345.0,345.6,3.6,3.8,3.8955367,1261371600.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2606,2019.0,2021.0,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,37.21005688,-88.86021121,227.4,87.0,279.0,369.0,9.4,-52.0,4.3,2.8398466,1556510400.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2607,2017.0,2019.0,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,37.21005688,-88.86021121,227.4,87.0,279.0,369.0,9.4,-52.0,4.3,2.8398466,1497585600.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2608,2006.0,2007.0,0,0,0,1,0,0,0,0,0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,40.93432442,-90.39859032,227.4,331.0,175.0,521.0,21.9,29.9,4.0,3.8026924,1161576000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2609,2006.0,2008.0,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,40.60721301,-89.46176895,227.4,177.0,325.0,517.0,56.5,-28.6,4.0,3.6480172,1150084800.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2610,2022.0,2025.0,0,0,0,1,0,0,0,0,0,186.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,39.40858165,-89.08005069,227.4,113.0,325.0,442.0,9.7,-48.0,4.1,3.8221145,1666238400.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2611,2018.0,2021.0,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,39.9707019,-89.19372654,227.4,108.0,299.0,419.0,3.1,-45.6,4.1,3.591116,1520827200.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2612,2019.0,2022.0,0,0,0,1,0,0,0,0,0,199.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,39.26760075,-88.0828873,227.4,34.0,174.0,215.0,2.7,-65.1,4.1,3.7144055,1556251200.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613,2022.0,2025.0,0,0,0,1,0,0,0,0,0,150.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42.29402651,-88.96929019,227.4,3226.0,2999.0,6345.0,345.6,3.6,3.8,3.8955367,1667707200.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2614,2006.0,2012.0,0,0,0,1,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,40.60721301,-89.46176895,227.4,177.0,325.0,517.0,56.5,-28.6,4.0,3.6480172,1157947200.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2615,2017.0,2019.0,0,0,0,1,0,0,0,0,0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,38.93877436,-88.27472327,227.4,30.0,191.0,223.0,2.3,-72.2,4.1,3.4835515,1497585600.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
